throttle,steer,accel,v,w
0.0,0.0,0.1765959723114251,0.0006037021918974,0.0006454956150776
0.0,0.0,-0.0869275449044737,-0.0002654864444727,-0.0013802502582734
0.0,0.0,0.0615459199923023,0.000341196269985,0.0085296673564996
0.0,0.0,-0.265468547811917,-0.0023367900948696,-0.0097828519475058
0.0,0.0,0.2932157368166425,0.0005571466319643,-0.0018650893885497
0.0,0.0,0.0280267551249313,0.0008374503304072,-0.0002041261657346
0.0,0.0,-0.0541860848345654,-0.0002383106946997,0.0048251277567793
0.0,0.0,0.0533284053424592,0.0008347848556419,-0.0008787456382081
0.0,0.0,-0.0860538409174464,-0.0008985326256858,-0.00587027917621
0.0,0.0,0.0695907317190468,0.0004830296765066,0.006629161304699
0.0,0.0,-0.0179760165718231,0.0001193084800651,0.0048700527432451
0.0,0.0,-0.0119861514830382,-0.0001232357119393,-0.003057102258856
0.0,0.0,0.0050132721361637,-2.5466049413169855e-05,-0.0072531930127147
0.0,0.0,-0.0025000321869225,-7.702587496870924e-05,0.0052587231045157
0.0,0.0,0.0114788010613867,0.0001514874715903,-0.000213094043509
0.0,0.0,-0.048799348458406,-0.0008330759979737,-0.0073749165323346
0.0,0.0,0.0867016276541085,0.0008973520310842,0.0087026559321848
0.0,0.0,-0.0771840948306765,-0.0006418665789732,-0.0085040866648241
0.0,0.0,0.0742485233294255,0.0008637572739218,0.0036559359956911
0.0,0.0,-0.0820565234403304,-0.0007601851305741,0.0005278924350717
0.0,0.0,0.0601312354395899,0.0004382763407512,-0.0008567343461644
0.0,0.0,-0.032079190238889,-0.0002011979636182,0.0054614671273062
0.0,0.0,0.0409122508505222,0.0006140091119137,-0.0047638944724254
0.0,0.0,-0.0820411545250703,-0.0010254792837934,0.0022277490154797
0.0,0.0,0.0790701666217814,0.0005842091876816,-0.0019072541212365
0.0,0.0,-0.0287844887246108,1.775534068389783e-05,0.0057752915351422
0.0,0.0,-0.0139393611945258,-0.0002576770313027,-0.0058603896824416
0.0,0.0,0.0170428844935763,8.144643127617313e-05,-0.0034345092974541
0.0,0.0,-0.0215120733787378,-0.0003503168007192,0.0028211765298908
0.0,0.0,0.0596465315487571,0.0008375088734554,0.0001458651073345
0.0,0.0,-0.1006560848178041,-0.0011737559730824,-0.0007543463411409
0.0,0.0,0.0909023588028127,0.0006693498653931,0.0049543526220268
